date,D_days,tau,n_strikes,alpha,rho,nu,vol_rmse
2023-02-10,14,0.0383561643835616,188,0.16585944947470505,-0.41956986897240606,4.033186356789073,0.021433549532701535
2023-02-10,17,0.0465753424657534,115,0.17261889547509993,-0.3693897432736697,2.548936071840191,0.010621577545958492
2023-02-10,18,0.0493150684931506,220,0.1691317491167451,-0.34894499940631624,2.343632322943632,0.01728153682086418
2023-02-10,19,0.0520547945205479,95,0.17607421335075196,-0.4645716776379445,2.3098020415911904,0.007702650158785563
2023-02-10,20,0.0547945205479452,98,0.1738051540485331,-0.4071367531196039,2.6955768202631103,0.009650313116455745
2023-02-10,21,0.0575342465753424,162,0.1769863049663859,-0.5038802318001481,2.3406937061673503,0.008722354446106017
2023-02-10,24,0.0657534246575342,114,0.17084579358182705,-0.4436506215496365,2.1659474704942885,0.008348506253196187
2023-02-10,25,0.0684931506849315,80,0.17286841094103103,-0.3997520563965957,2.222777463578631,0.00993240715551862
2023-02-10,26,0.0712328767123287,53,0.17672599167028952,-0.4814340086478502,2.038367445761262,0.00740195727311947
2023-02-10,27,0.073972602739726,63,0.17373305246416695,-0.5021723510523362,2.5295650839547124,0.008580917538248684
2023-02-10,28,0.0767123287671232,142,0.1798158717298977,-0.5079516966869044,2.136069039303098,0.008849837434846335
2023-02-10,31,0.084931506849315,99,0.17731655847820088,-0.49257605381997255,1.7689560693336832,0.010207663059687462
2023-02-10,35,0.0958904109589041,649,0.17024384967370917,-0.38748839939731455,2.4385548844124747,0.02114230598470318
2023-02-10,38,0.1041095890410958,58,0.18368307048174692,-0.5402976907330651,1.7481490182169086,0.008429895155802702
2023-02-10,42,0.1150684931506849,96,0.19124866197262472,-0.6130293665013083,1.9507787954348796,0.004248403719617373
2023-02-10,49,0.1342465753424657,362,0.18344260553344843,-0.5838514006080666,1.99516223790749,0.007836625094364008
2023-02-10,63,0.1726027397260274,78,0.18288447444723158,-0.6346718572580549,2.0211841696222255,0.009172056943360601
2023-02-10,70,0.1917808219178082,584,0.17319015133634735,-0.6388749518138372,2.2023854819655195,0.01712572981129013
2023-02-10,77,0.210958904109589,291,0.17020336648828427,-0.5844974161480383,2.1782752031498065,0.017520394201258144
